method,task_idx,preq_em,preq_f1,cum_cost_usd,n_bullets
ours_full,256,0.4553,0.4553,20.941924,194.00
ours_full,257,0.4574,0.4574,20.995329,194.00
ours_full,258,0.4556,0.4556,21.056913,194.00
ours_full,259,0.4538,0.4538,21.117700,194.00
ours_full,260,0.4521,0.4521,21.166203,194.00
ours_full,261,0.4542,0.4542,21.231667,194.00
ours_full,262,0.4525,0.4525,21.272567,194.00
ours_full,263,0.4508,0.4508,21.318537,194.00
ours_full,264,0.4528,0.4528,21.343697,194.00
ours_full,265,0.4511,0.4511,21.391930,194.00
ours_full,266,0.4494,0.4494,21.445312,194.00
ours_full,267,0.4515,0.4515,21.519210,194.00
ours_full,268,0.4498,0.4498,21.562251,194.00
ours_full,269,0.4481,0.4481,21.640514,194.00
ours_full,270,0.4465,0.4465,21.661999,194.00
ours_full,271,0.4449,0.4449,21.723851,194.00
ours_full,272,0.4469,0.4469,21.763479,194.00
ours_full,273,0.4453,0.4453,21.785828,194.00
ours_full,274,0.4436,0.4436,21.813322,194.00
ours_full,275,0.4457,0.4457,21.918559,194.00
ours_full,276,0.4477,0.4477,21.982517,194.00
ours_full,277,0.4460,0.4460,22.037531,194.00
ours_full,278,0.4444,0.4444,22.095439,194.00
ours_full,279,0.4464,0.4464,22.126076,194.00
